"name","death_date","description","pageviews"
"Tinín","2020-11-01","Spanish matador","981"
"Des Moore","2020-11-01","Australian economist","806"
"Ali El Kenz","2020-11-01","Algerian writer and sociologist","552"
"Stafford Poole","2020-11-01","American Catholic priest and research historian","400"
"Keith Hitchins","2020-11-01","American historian specialized on Romanian history","257"
"Hryhoriy Arshynov","2020-11-01","Ukrainian civil engineer and activist","60"
"Mario Pereyra","2020-11-01","Argentine radio host and businessman","0"
"John Sessions","2020-11-02","British actor and comedian (''Stella Street'', ''Spitting Image'', ''Whose Line Is It Anyway?'')","354389"
"Park Ji-sun","2020-11-02","South Korean comedian and actress","125346"
"Gigi Proietti","2020-11-02","Italian actor (''Febbre da cavallo'', ''Lady Liberty'', ''Brancaleone at the Crusades'') and comedian","103991"
"Elsa Raven","2020-11-02","American actress (''Back to the Future'', ''Amen'', ''Titanic'')","87254"
"T. N. Krishnan","2020-11-02","Indian Carnatic violinist","28903"
"Robert Sam Anson","2020-11-02","American journalist and author","19582"
"Max Ward","2020-11-02","Canadian aviator","12067"
"Nancy Darsch","2020-11-02","American basketball coach","11944"
"Peter Goodwright","2020-11-02","English impressionist (''Who Do You Do?'')","10663"
"Satish Prasad Singh","2020-11-02","Indian politician","9024"
"Baron Wolman","2020-11-02","American photographer (''Rolling Stone'')","7790"
"Roy Edwards","2020-11-02","American politician","5802"
"Ashish Kakkad","2020-11-02","Indian film director (''Mission Mummy'')","5044"
"Oscar W. McConkie Jr.","2020-11-02","American politician","3544"
"David Faulkner","2020-11-02","British civil servant and academic","3319"
"Dietrich Adam","2020-11-02","German actor (''Mostly Martha'', ''French for Beginners'', ''Storm of Love'')","3200"
"Chuck Hartman","2020-11-02","American baseball coach (Virginia Tech Hokies)","2780"
"Rajko Đurić","2020-11-02","Serbian writer","2573"
"Ahmed Laraki","2020-11-02","Moroccan politician","2418"
"Bhagirathi Majhi","2020-11-02","Indian politician","2036"
"Raju Mishra","2020-11-02","Indian cinematographer (''Aranya Rodan'', ''Nirbachana'', ''Joymoti'')","1869"
"Maria Tsien","2020-11-02","American actress","1595"
"Rodolfo Rabanal","2020-11-02","Argentine writer and journalist","1562"
"Trevor Malloch","2020-11-02","New Zealand cricketer (Wellington)","828"
"Dorothy Christ","2020-11-02","American baseball player (South Bend Blue Sox)","808"
"Earl Brian","2020-11-02","American physician and businessman","776"
"Euan MacKie","2020-11-02","British archaeologist and anthropologist","402"
"Léo de Almeida Neves","2020-11-02","Brazilian politician","282"
"Quincy Armstrong","2020-11-02","American football player (Hamilton Tiger-Cats, Cleveland Browns, Ottawa Rough Riders)","49"
"Karl Sitter","2020-11-02","Austrian Olympic rower (1948)","9"
"Irvin Baxter Jr.","2020-11-03","American Pentecostal preacher and televangelist","53969"
"Anthony Van Dyck","2020-11-03","Irish racehorse","29962"
"Don Talbot","2020-11-03","Australian Olympic Hall of Fame swimming coach","24763"
"Faustas Latėnas","2020-11-03","Lithuanian composer (''My Little Wife'', ''Wooden Staircase'')","16663"
"H. G. Somashekar Rao","2020-11-03","Indian actor (''27 Mavalli Circle'', ''Mithileya Seetheyaru'', ''Koormavatara'')","15262"
"Claude Giraud","2020-11-03","French actor (''Angélique, Marquise des Anges'', ''Circle of Love'', ''The Mad Adventures of Rabbi Jacob'')","8252"
"Grzegorz Szerszenowicz","2020-11-03","Polish footballer (Broń Radom, Jagiellonia Białystok, Mazur Ełk)","1900"
"Blair Campbell","2020-11-03","Australian cricketer (Victoria, Tasmania) and footballer (Richmond)","1797"
"Jacques Pereira","2020-11-03","Portuguese footballer (Braga, Porto, national team)","1749"
"Gennady Bukharin","2020-11-03","Russian sprint canoeist","1565"
"Dharshibhai Khanpura","2020-11-03","Indian politician","1171"
"Aileen Passloff","2020-11-03","American dancer and choreographer","1087"
"William Helburn","2020-11-03","American photographer","584"
"Henry Brind","2020-11-03","British diplomat","558"
"Matti Laakso","2020-11-03","Finnish Olympic wrestler (1960, 1964, 1972)","486"
"Isaac Alvarez","2020-11-03","French actor and mime","449"
"Anne Covell","2020-11-03","Canadian Olympic athlete (1968)","406"
"Seno Nugroho","2020-11-03","Indonesian artist and puppeteer","314"
"Ron Fogg","2020-11-03","English footballer (Weymouth, Bedford Town, Aldershot)","268"
"Maurice Healy","2020-11-03","British consumer campaigner","84"
"Taymi Chappé","2020-11-03","Cuban-Spanish Olympic fencer (1996)","8"
"Georges Massicotte","2020-11-03","Canadian politician","0"
"Faraaz Khan","2020-11-04","Indian actor (''Fareb'', ''Mehndi'', ''Achanak 37 Saal Baad'')","197281"
"Ken Hensley","2020-11-04","English singer-songwriter (Uriah Heep, Blackfoot, Toe Fat)","106794"
"Tom Metzger","2020-11-04","American white supremacist","66027"
"Benjamin LaGuer","2020-11-04","American convicted rapist","10496"
"Matt Tees","2020-11-04","Scottish footballer (Grimsby Town, Charlton Athletic, Airdrieonians)","4539"
"John Meyer","2020-11-04","American football player (Houston Oilers) and coach (Green Bay Packers, Boston/New England Patriots)","3192"
"Luis Zapata","2020-11-04","Mexican writer","3115"
"Abdul Rashid","2020-11-04","Pakistani field hockey player","2354"
"Mariano Francisco Saynez Mendoza","2020-11-04","Mexican admiral","2227"
"Lakhdar Bouregaa","2020-11-04","Algerian independentist militant","2093"
"Naomi Long Madgett","2020-11-04","American poet","2013"
"Shakey Rodriguez","2020-11-04","American basketball coach (FIU Panthers)","1524"
"Montinee Tangphong","2020-11-04","Thai tennis player","1374"
"Theodore Friend","2020-11-04","American historian","1281"
"Bruce Hurley","2020-11-04","American politician","1056"
"Adam David Miller","2020-11-04","American poet and memoirist","790"
"Jean-Pierre Vincent","2020-11-04","French theatre actor and director","779"
"Moncef Ouannes","2020-11-04","Tunisian sociologist","613"
"Roald Tweet","2020-11-04","American academic and historian","590"
"Jan Vrba","2020-11-04","Czech politician","569"
"Maurice Faivre","2020-11-04","French general and political scientist","514"
"Sergio Matteucci","2020-11-04","Italian voice actor and radio presenter","238"
"Bob Schmidt","2020-11-04","Australian footballer","179"
"Ernest Westfield","2020-11-04","American baseball player (Birmingham Black Barons)","150"
"Lalit Bhati","2020-11-04","Indian politician","0"
"Sead Gološ","2020-11-04","Bosnian architect","0"
"Zbigniew Zysk","2020-11-04","Polish politician","0"
"Geoffrey Palmer","2020-11-05","British actor (''As Time Goes By'', ''Butterflies'', ''The Fall and Rise of Reginald Perrin'')","377822"
"Len Barry","2020-11-05","American singer (""1-2-3"", ""Bristol Stomp"")","31973"
"Jim Marurai","2020-11-05","Cook Island politician","17096"
"Joy Westmore","2020-11-05","Australian actress (''Prisoner'', ''Neighbours'', ''Blue Heelers'')","15005"
"Jim Ramstad","2020-11-05","American politician","12360"
"Gordon Van Wylen","2020-11-05","American physicist and academic administrator","10248"
"Reynaert","2020-11-05","Belgian singer (""Laissez briller le soleil"")","5755"
"Johnny Paredes","2020-11-05","Venezuelan baseball player (Montreal Expos, Detroit Tigers)","4797"
"Géza Szőcs","2020-11-05","Romanian-Hungarian poet and politician","4707"
"Maggie Crotty","2020-11-05","American politician","2686"
"Robert Peterson","2020-11-05","Canadian politician","2543"
"Ossi Runne","2020-11-05","Finnish trumpeter","2538"
"Ouyang Zhongshi","2020-11-05","Chinese calligrapher","2432"
"Barbara McAulay","2020-11-05","Australian Olympic diver (1956)","2407"
"Govardhan Upadhyay","2020-11-05","Indian politician","1467"
"Joseph Rishel","2020-11-05","American art curator","1299"
"Pierre Simonet","2020-11-05","French militant and international civil servant","1293"
"Leonid Osipov","2020-11-05","Russian water polo player","751"
"Jacques Glowinski","2020-11-05","French pharmacist","734"
"David Hawkins","2020-11-05","Australian Olympic swimmer","429"
"Janine Puget","2020-11-05","French-born Argentine psychiatrist and psychoanalyst","393"
"Vincent Coakley","2020-11-05","Irish Gaelic footballer","372"
"François d'Harcourt","2020-11-05","French politician","263"
"Alan Cairns","2020-11-05","Northern Irish clergyman and author","0"
"Rex Rector","2020-11-05","American politician","0"
"Nissim Sharim","2020-11-05","Chilean actor and theater director (''Julio comienza en julio'', ''Ufa con el sexo'')","0"
"King Von","2020-11-06","American rapper","2343333"
"Ken Spears","2020-11-06","American animator and television producer (''Scooby-Doo'', ''Dynomutt, Dog Wonder'', ''Alvin and the Chipmunks'')","46024"
"Mikhail Zhvanetsky","2020-11-06","Ukrainian-Russian writer and satirist","23097"
"Dovid Feinstein","2020-11-06","Belarusian-born American Orthodox rabbi","16102"
"Gerald Stone","2020-11-06","American-born Australian television producer (''60 Minutes'') and journalist","14258"
"Fernando Solanas","2020-11-06","Argentine film director (''The Hour of the Furnaces'', ''Tangos, the Exile of Gardel'', ''Social Genocide'') and politician","13085"
"Timur Selçuk","2020-11-06","Turkish singer","9919"
"Jim Neilson","2020-11-06","Canadian ice hockey player (New York Rangers)","9857"
"Jim Radford","2020-11-06","English folk singer-songwriter and peace activist","8454"
"Mluleki Ndobe","2020-11-06","South African politician","6150"
"Nathan Zach","2020-11-06","Israeli poet","5663"
"Luke Rhinehart","2020-11-06","American author (''The Dice Man'')","4224"
"Harry Holman","2020-11-06","English footballer (Exeter City, Peterborough United)","3587"
"June Foulds","2020-11-06","British athlete","3470"
"Giuseppe Amadei","2020-11-06","Italian politician","2477"
"Les Rohr","2020-11-06","British-born American baseball player (New York Mets)","1993"
"Jean-Michel Goudard","2020-11-06","French public relations executive (BBDO)","1831"
"Mick Barry","2020-11-06","Australian rugby union player (national team)","1756"
"Ray Daviault","2020-11-06","Canadian baseball player (New York Mets)","1668"
"Oliver Winterbottom","2020-11-06","British automotive designer","1509"
"Constantin Dan Vasiliu","2020-11-06","Romanian politician","1365"
"Andrzej Owczarek","2020-11-06","Polish politician and teacher","1201"
"Paul Carey","2020-11-06","Irish hurler","1179"
"Piero Simondo","2020-11-06","Italian artist","1131"
"Caprino Alendy","2020-11-06","Surinamese politician","923"
"Gene Felton","2020-11-06","American racecar driver","875"
"Patrick Chokala","2020-11-06","Tanzanian diplomat","662"
"Jean-Michel Boris","2020-11-06","French artistic director","497"
"Bernard Sesé","2020-11-06","French academic","285"
"Shelby Smith","2020-11-06","American politician","184"
"Luis Alberto Ammann","2020-11-06","Argentine politician","0"
"Sergey Palagin","2020-11-06","Russian military pilot and lieutenant colonel","0"
"Norm Crosby","2020-11-07","American comedian and actor (''Eight Crazy Nights'')","91877"
"Bones Hillman","2020-11-07","New Zealand bassist (Midnight Oil, The Swingers, Suburban Reptiles)","68261"
"Jeanne Little","2020-11-07","Australian entertainer (''The Mike Walsh Show'', ''Cuckoo in the Nest'', ''Beauty and the Beast'')","54717"
"John Fraser","2020-11-07","Scottish actor (''The Good Companions'', ''The Trials of Oscar Wilde'', ''Repulsion'')","45254"
"Cándido Camero","2020-11-07","Cuban jazz percussionist","14259"
"Edward J. Perkins","2020-11-07","American diplomat","9850"
"Song Jae-ho","2020-11-07","South Korean actor (''Yeong-ja's Heydays'', ''Memories of Murder'', ''The President's Last Bang'')","6746"
"Vera Zima","2020-11-07","Croatian actress (''Love Letters with Intent'', ''Cashier Wants to Go to the Seaside'', ''Sorry for Kung Fu'')","5600"
"Henry Haller","2020-11-07","Swiss-American chef","3743"
"Yang Zhenduo","2020-11-07","Chinese martial artist","3713"
"Chung Laung Liu","2020-11-07","Chinese-born Taiwanese computer scientist","3085"
"Anicetus Bongsu Antonius Sinaga","2020-11-07","Indonesian Roman Catholic prelate","2731"
"Moustafa Safouan","2020-11-07","Egyptian psychoanalyst","2653"
"Willie Smith","2020-11-07","American sprinter","2368"
"Abdelkader Guerroudj","2020-11-07","Algerian political activist","1857"
"Adrian Cahill","2020-11-07","Irish hurler (Offaly)","1675"
"Cyril Colbeau-Justin","2020-11-07","French film producer (''Me, Myself and Mum'', ''The Last Deadly Mission'')","1647"
"Vasile Gherasim","2020-11-07","Romanian politician","1623"
"Mike McCormack","2020-11-07","American politician","1045"
"Anatoly Mikhailovich Stepin","2020-11-07","Russian mathematician","864"
"Hou Feng","2020-11-07","Chinese plant breeding engineer","797"
"Rina Macrelli","2020-11-07","Italian screenwriter and essayist","592"
"Jean-Marie Mérigoux","2020-11-07","French Roman Catholic priest","526"
"Pierre Lataillade","2020-11-07","French politician","451"
"Sakari Paasonen","2020-11-07","Finnish Olympic shooter (1988, 1992)","372"
"Sir Philip Wroughton","2020-11-07","British businessman and public servant","292"
"Jonathan Sacks, Baron Sacks","2020-11-07","British Orthodox rabbi","225"
"Fred Hills","2020-11-07","American literary editor","115"
"Edwin Gilbert","2020-11-07","American swimmer","63"
"Jean Maissant","2020-11-07","French Olympic discus thrower (1952)","11"
"Alex Trebek","2020-11-08","Canadian-American game show host (''Jeopardy!'', ''High Rollers'', ''Classic Concentration'')","3368729"
"Howie Meeker","2020-11-08","Canadian Hall of Fame ice hockey player (Toronto Maple Leafs)","62383"
"Seymour Topping","2020-11-08","American journalist (''The New York Times'')","27256"
"Carlos G. Vallés","2020-11-08","Spanish-Indian Jesuit priest and author","21071"
"Oscar Benton","2020-11-08","Dutch vocalist (""Bensonhurst Blues"")","12143"
"Vanusa","2020-11-08","Brazilian singer","7743"
"Sanchaman Limboo","2020-11-08","Indian politician","4071"
"Richard Neely","2020-11-08","American jurist","3369"
"Raphael Hadane","2020-11-08","Ethiopian-Israeli religious leader","3016"
"Horst David","2020-11-08","German serial killer","2319"
"Víctor Valencia de los Santos","2020-11-08","Mexican politician","2286"
"Miro Steržaj","2020-11-08","Slovene nine-pin bowler","1812"
"Ataullah Siddiqui","2020-11-08","Indian-born British scholar of Islam","1670"
"Mohammed Bakar","2020-11-08","Malaysian Olympic football player (1972)","1258"
"Stéphane Moulin","2020-11-08","French football referee","1187"
"Andrzej Wawrzyniak","2020-11-08","Polish diplomat and art collector","986"
"Heidar Shonjani","2020-11-08","Iranian Olympic swimmer (1964) and water polo player (1976)","878"
"Clive Griffiths","2020-11-08","Australian politician","766"
"Jean-Yves Nau","2020-11-08","French physician and scientific journalist","666"
"Marc Metdepenningen","2020-11-08","Belgian journalist","548"
"Herman Daled","2020-11-08","Belgian art collector","461"
"Cliff Joseph","2020-11-08","Panama-born American artist","431"
"Joseph Altairac","2020-11-08","French literary critic and essayist","380"
"Chuck Mrazovich","2020-11-08","American basketball player (Anderson Packers, Indianapolis Olympians)","277"
"Bernard L. Shaw","2020-11-08","English chemist","260"
"Paul Foshee","2020-11-08","American politician","0"
"Tom Heinsohn","2020-11-09","American Hall of Fame basketball player","172369"
"Harry R. Jackson Jr.","2020-11-09","American Christian preacher and Pentecostal bishop","54748"
"Amadou Toumani Touré","2020-11-09","Malian politician","28969"
"Israel Horovitz","2020-11-09","American playwright and screenwriter (''Author! Author!'', ''Sunshine'', ''James Dean'')","19015"
"Daryono","2020-11-09","Indonesian footballer (Persija Jakarta, Badak Lampung)","8708"
"Bruno Barbey","2020-11-09","Moroccan-born French photographer","7643"
"Shkëlqim Troplini","2020-11-09","Albanian Olympic wrestler (1996)","4980"
"Gordon Joseloff","2020-11-09","American journalist (CBS News)","3915"
"Charles M. Eastman","2020-11-09","American architect","2698"
"John Kinsela","2020-11-09","Australian Olympic wrestler (1968, 1972)","2148"
"C. Moyinkutty","2020-11-09","Indian politician","2103"
"Lê Dinh","2020-11-09","Vietnamese-Canadian songwriter","1871"
"Fernando Atzori","2020-11-09","Italian boxer","1780"
"Lawrence LeShan","2020-11-09","American psychologist","1746"
"Marco Santagata","2020-11-09","Italian writer and academic","1613"
"Domènec Fita i Molat","2020-11-09","Spanish painter and sculptor","1480"
"Glenn Ezell","2020-11-09","American baseball executive (Detroit Tigers) and coach (Texas Rangers, Kansas City Royals)","1458"
"Doug Wragg","2020-11-09","English footballer (Rochdale, West Ham United, Mansfield Town)","1364"
"Virginia Bonci","2020-11-09","Romanian Olympic athlete (1968)","1191"
"Foster Castleman","2020-11-09","American baseball player (New York Giants, Baltimore Orioles)","1049"
"William G. T. Tuttle Jr.","2020-11-09","American general","999"
"Basil Yamey","2020-11-09","South African economist","965"
"Dan Pfister","2020-11-09","American baseball player (Kansas City Athletics)","783"
"Howard P. Segal","2020-11-09","American historian of technology","754"
"Robert Layton","2020-11-09","English musicologist and music critic","633"
"Charles-Henri Flammarion","2020-11-09","French literary editor","357"
"Daniel Yonnet","2020-11-09","French journalist and literary critic","333"
"Eleanor Schano","2020-11-09","American journalist","272"
"W. D. Ariyasinghe","2020-11-09","Sri Lankan musician","253"
"Pierre Candelo","2020-11-09","French Olympic sport shooter","29"
"Edward McClain","2020-11-09","American politician","0"
"Saeb Erekat","2020-11-10","Palestinian politician and diplomat (Oslo Accords)","64024"
"DJ Spinbad","2020-11-10","American DJ (WHTZ) and record producer","46830"
"Sven Wollter","2020-11-10","Swedish actor (''The Sacrifice'', ''The Man on the Roof'', ''A Song for Martin'')","34613"
"Graham Cowdrey","2020-11-10","English cricketer (Kent)","31555"
"Alec Baillie","2020-11-10","American bassist (Choking Victim, Leftöver Crack)","29919"
"Tony Waiters","2020-11-10","English football player (Blackpool, national team) and manager (Plymouth Argyle)","18003"
"Mila del Sol","2020-11-10","Filipino actress (''Giliw Ko'', ''Ibong Adarna'')","12453"
"Vladimir Găitan","2020-11-10","Romanian actor (''The Reenactment'', ''Accident'', ''Uncle Marin, the Billionaire'')","6168"
"Juan Sol","2020-11-10","Spanish footballer (Valencia, Real Madrid, national team)","5867"
"Dino da Costa","2020-11-10","Brazilian-born Italian footballer (Botafogo, Roma, Italy national team)","4014"
"Igor Moskvin","2020-11-10","Russian figure skating coach","3923"
"Mahmoud Yavari","2020-11-10","Iranian football player (PAS Tehran, national team) and manager (Tractor)","3698"
"Charles Corver","2020-11-10","Dutch football referee","2906"
"Renzo Gattegna","2020-11-10","Italian lawyer","2503"
"Amir Yavari","2020-11-10","Iranian Olympic boxer (1960)","2216"
"Isidro Pedraza Chávez","2020-11-10","Mexican politician","2025"
"Carlo Bordini","2020-11-10","Italian poet","2005"
"Mike Whorf","2020-11-10","American radio personality","1779"
"Rahayu Supanggah","2020-11-10","Indonesian composer","1692"
"Mahadeepak Singh Shakya","2020-11-10","Indian politician","1314"
"Ba Ag Moussa","2020-11-10","Malian militant and jihadist","1176"
"Harold Edwards","2020-11-10","American mathematician","1150"
"Hanane Al-Barassi","2020-11-10","Libyan anti-corruption and women's rights activist","729"
"Bede Lackner","2020-11-10","Hungarian-American priest and monk","551"
"Günther Pfaff","2020-11-10","Austrian canoeist","525"
"Sen-itiroh Hakomori","2020-11-10","Japanese-American biochemist","431"
"Jerzy Derkacz","2020-11-10","Polish politician","356"
"Luis Ibero","2020-11-10","Spanish politician","354"
"Bob Hantla","2020-11-10","American football player (San Francisco 49ers, BC Lions)","188"
"Russell T. Thane","2020-11-10","American politician","94"
"Nagima Aitkhozhina","2020-11-10","Kazakh biologist","0"
"Titus Davis","2020-11-11","American football player (Central Michigan Chippewas)","43598"
"Thembekile Kimi Makwetu","2020-11-11","South African accountant","21847"
"Abdulkadir Balarabe Musa","2020-11-11","Nigerian politician","19498"
"Dame Margaret Guilfoyle","2020-11-11","Northern Irish-born Australian politician","16942"
"MO3","2020-11-11","American rapper","12439"
"Mongameli Bobani","2020-11-11","South African politician","12415"
"Justin Cronin","2020-11-11","American politician","6227"
"Mileta Lisica","2020-11-11","Serbian-Slovene basketball player (Sloboda Tuzla, Crvena zvezda, Pivovarna Laško)","6025"
"Robert Lue","2020-11-11","Jamaican biologist","5292"
"Andrew White","2020-11-11","American jazz saxophonist and musicologist","4695"
"Gonçalo Ribeiro Telles","2020-11-11","Portuguese landscape architect and politician","4330"
"Jorge Llopart","2020-11-11","Spanish race walker","3637"
"Theresa Stewart","2020-11-11","English politician","3546"
"Carlos Campos","2020-11-11","Chilean footballer (Universidad de Chile, national team)","2786"
"Charles DeJurnett","2020-11-11","American football player (San Diego Chargers, Los Angeles Rams)","2705"
"Mark Kosmos","2020-11-11","American football player (Ottawa Rough Riders)","2519"
"Juan Gómez-Quiñones","2020-11-11","Mexican-born American historian","2451"
"Rosalind Grimshaw","2020-11-11","English stained glass artist","2073"
"Giuliana Minuzzo","2020-11-11","Italian alpine skier","2005"
"Shegufta Bakht Chaudhuri","2020-11-11","Bangladeshi economist","1711"
"Reg Morelli","2020-11-11","American-Canadian ice hockey player (North Dakota Fighting Hawks)","1119"
"Netatua Pelesikoti","2020-11-11","Tongan environmentalist","999"
"Faye Urban","2020-11-11","Canadian tennis player","964"
"Les Massie","2020-11-11","Scottish footballer (Huddersfield Town)","954"
"Edward Flak","2020-11-11","Polish lawyer and German minority politician","891"
"Edmund Jagiełło","2020-11-11","Polish physician and politician","660"
"Michel Mongeau","2020-11-11","Canadian actor (''How My Mother Gave Birth to Me During Menopause'', ''Gaz Bar Blues'', ''Shake Hands with the Devil'')","647"
"Francesc-Xavier Ciuraneta Aymí","2020-11-11","Spanish Roman Catholic prelate","569"
"Jude Stéfan","2020-11-11","French poet","421"
"Jean Collet","2020-11-11","French writer","420"
"Valentin Khromov","2020-11-11","Russian poet","388"
"Marie-Claude Vayssade","2020-11-11","French politician","352"
"André Martin","2020-11-11","French particle physicist","332"
"Marian Cooksey","2020-11-11","American politician","153"
"Mark Stockman","2020-11-11","Ukrainian-born American physicist","0"
"Asif Basra","2020-11-12","Indian actor (''Outsourced'', ''One Night with the King'', ''Once Upon a Time in Mumbaai'')","781435"
"Jerry Rawlings","2020-11-12","Ghanaian politician","384042"
"Albert Quixall","2020-11-12","English footballer (Sheffield Wednesday, Manchester United, national team)","35330"
"Waqar Ahmed Seth","2020-11-12","Pakistani jurist","23577"
"Howie Winter","2020-11-12","American mobster (Winter Hill Gang)","19223"
"Alan Glazier","2020-11-12","English darts player","13689"
"Lynn Kellogg","2020-11-12","American singer and actress (''Hair'', ''Charro!'')","12001"
"Gernot Roll","2020-11-12","German cinematographer (''The Last Escape'', ''Zero Hour'', ''Beyond Silence'') and film director","10882"
"Masatoshi Koshiba","2020-11-12","Japanese physicist","10790"
"Surendra Singh Jeena","2020-11-12","Indian politician","10631"
"Nelly Kaplan","2020-11-12","Argentine-born French film director (''A Very Curious Girl'') and screenwriter","9037"
"Krasnodar Rora","2020-11-12","Croatian football player (Dinamo Zagreb, Yugoslavia national team) and manager (NK Radnik Velika Gorica)","4382"
"John Outterbridge","2020-11-12","American sculptor and activist","4230"
"Jacob M. Landau","2020-11-12","Israeli political scientist","3361"
"Quentin Smith","2020-11-12","American philosopher","3142"
"Aldo Tambellini","2020-11-12","Italian-American artist","3120"
"Leonid Potapov","2020-11-12","Russian politician","3113"
"Paul Schrieber","2020-11-12","American baseball umpire","2981"
"Arjun Prajapati","2020-11-12","Indian pottery artist","1931"
"Walter J. Gex III","2020-11-12","American jurist","1748"
"Boris Gurevich","2020-11-12","Ukrainian wrestler","1550"
"Sakata Tōjūrō IV","2020-11-12","Japanese kabuki actor","1543"
"Jack Michael","2020-11-12","American psychologist","1507"
"Dave Quall","2020-11-12","American politician","1503"
"Tibor Méray","2020-11-12","Hungarian journalist and writer (''Catch Me a Spy'')","1428"
"Kanybek Isakov","2020-11-12","Kyrgyz politician and academic","1242"
"Michael Z. Hobson","2020-11-12","American comic book publisher (Marvel Comics)","1184"
"Wolfgang Engelmann","2020-11-12","German politician","803"
"Piem","2020-11-12","French designer","693"
"Guy-Olivier Segond","2020-11-12","Swiss politician","446"
"Marc Monchal","2020-11-12","French army general","374"
"William T. Beaver","2020-11-12","American medical researcher and educator","187"
"Villem Lüüs","2020-11-12","Estonian draughts player and judge","42"
"Peter Sutcliffe","2020-11-13","English serial killer","3068527"
"Paul Hornung","2020-11-13","American Hall of Fame football player (Green Bay Packers)","195320"
"Doug Supernaw","2020-11-13","American country musician (""I Don't Call Him Daddy"", ""Reno"", ""Not Enough Hours in the Night"")","103688"
"Ravi Belagere","2020-11-13","Indian journalist (''Hai Bangalore'', ''O Manase'')","99831"
"John Hays","2020-11-13","British travel agency executive","83468"
"Sir John Meurig Thomas","2020-11-13","Welsh chemist and academic administrator","21188"
"Kićo Slabinac","2020-11-13","Croatian pop singer (""Tvoj dječak je tužan"")","19477"
"Jim Pace","2020-11-13","American racing driver","18419"
"Akira Kubodera","2020-11-13","Japanese actor (''Pretty Guardian Sailor Moon'', ''Kamen Rider Blade'', ''Kamen Rider Kiva'')","13594"
"Terry Duerod","2020-11-13","American basketball player (Boston Celtics, Detroit Pistons, Dallas Mavericks)","11911"
"Philip Voss","2020-11-13","British actor (''Vicious'', ''Doctor Who'', ''Fish'')","6858"
"Roger Jepsen","2020-11-13","American politician","6592"
"Robert Byron Bird","2020-11-13","American chemical engineer","5663"
"Halina Kwiatkowska","2020-11-13","Polish actress (''Ashes and Diamonds'', ''The Doll'', ''And Along Come Tourists'')","5405"
"Attila Horváth","2020-11-13","Hungarian Olympic discus thrower (1992, 1996)","4869"
"Jam Madad Ali Khan","2020-11-13","Pakistani politician","4858"
"Mohammad Ali","2020-11-13","Bangladeshi politician","4698"
"Walter C. Miller","2020-11-13","American television producer (Grammy Awards)","3596"
"Henry Slaughter","2020-11-13","American gospel pianist","3321"
"Julio Videla","2020-11-13","Chilean radio and television presenter","2815"
"Mohand Chérif Hannachi","2020-11-13","Algerian football player (national team) and executive","2346"
"Gwyn Jones","2020-11-13","Welsh footballer (Wolverhampton Wanderers, Bristol Rovers)","1674"
"Louis Rostollan","2020-11-13","French racing cyclist","1463"
"Vidin Apostolov","2020-11-13","Bulgarian footballer (Lokomotiv Sofia, Botev Plovdiv, national team)","1458"
"Andrzej Prawda","2020-11-13","Polish football manager (Victoria Sulejówek, Odra Opole)","1458"
"Jay Kerttula","2020-11-13","American politician","1204"
"Made Wianta","2020-11-13","Indonesian painter","1131"
"Vladimír Székely","2020-11-13","Hungarian electrical engineer","1025"
"József Halzl","2020-11-13","Hungarian mechanical engineer","895"
"Alfred Muller","2020-11-13","French politician","864"
"Noah Hershkowitz","2020-11-13","American physicist","776"
"Abiola Félix Iroko","2020-11-13","Beninese historian and university professor","678"
"Kjartan Jóhannsson","2020-11-13","Icelandic diplomat and politician","452"
"Rik Boel","2020-11-13","Belgian politician and judge","382"
"Jan van Toorn","2020-11-13","Dutch graphic designer","370"
"Konrad Hünteler","2020-11-13","German flutist","360"
"Jean Morzadec","2020-11-13","French singer-songwriter and media director","351"
"Pierre Mercier","2020-11-13","Canadian politician","293"
"Thomas J. Allen","2020-11-13","American organizational theorist","290"
"Pat Pariseau","2020-11-13","American politician","225"
"Eliza Jane Ashley","2020-11-13","American chef and author","206"
"Günther Wirth","2020-11-13","German footballer","172"
"João Cunha","2020-11-13","Brazilian politician","145"
"Des O'Connor","2020-11-14","English television presenter (''The Des O'Connor Show'', ''Des O'Connor Tonight'')","815670"
"Armen Dzhigarkhanyan","2020-11-14","Armenian-Russian actor (''The New Adventures of the Elusive Avengers'', ''The Crown of the Russian Empire'', ''The Meeting Place Cannot Be Changed'')","21815"
"Max Gros-Louis","2020-11-14","Canadian politician","18367"
"Lindy McDaniel","2020-11-14","American baseball player (St. Louis Cardinals, New York Yankees, Chicago Cubs)","14134"
"Peter Florjančič","2020-11-14","Slovenian inventor","14080"
"Greg Growden","2020-11-14","Australian sports journalist and author","6809"
"Hasan Muratović","2020-11-14","Bosnian politician","6253"
"William Thomas Jr.","2020-11-14","American actor (''Frank's Place'', ''The Cosby Show'')","6200"
"Jay E. Adams","2020-11-14","American religious author","5683"
"Kailash Sarang","2020-11-14","Indian politician","4024"
"David Stoddart, Baron Stoddart of Swindon","2020-11-14","British politician","3620"
"Maria Kalinowska","2020-11-14","Polish filmgoer","2846"
"Kay Wiestål","2020-11-14","Swedish entrepreneur (Victoria Day) and footballer (Djurgårdens IF)","2233"
"Adolfo Bolea","2020-11-14","Spanish football player (Sant Andreu, Tenerife, Cádiz) and manager","2033"
"Gerald Nicholas Dino","2020-11-14","American Ruthenian Greek Catholic hierarch","1589"
